Timestamp,Value
2019-07-01 00:00:00,-457.2
2019-07-01 00:30:00,-392.4
2019-07-01 01:00:00,-352.8
2019-07-01 01:30:00,-327.59999999999997
2019-07-01 02:00:00,-295.2
2019-07-01 02:30:00,-306.0
2019-07-01 03:00:00,-295.2
2019-07-01 03:30:00,-316.79999999999995
2019-07-01 04:00:00,-345.6
2019-07-01 04:30:00,-388.8
2019-07-01 05:00:00,-457.2
2019-07-01 05:30:00,-540.0
2019-07-01 06:00:00,-590.4
2019-07-01 06:30:00,-655.1999999999999
2019-07-01 07:00:00,-781.2
2019-07-01 07:30:00,-846.0
2019-07-01 08:00:00,-903.6
2019-07-01 08:30:00,-914.4
2019-07-01 09:00:00,-990.0000000000001
2019-07-01 09:30:00,-990.0000000000001
2019-07-01 10:00:00,-1026.0
2019-07-01 10:30:00,-1044.0
2019-07-01 11:00:00,-979.2
2019-07-01 11:30:00,-990.0000000000001
2019-07-01 12:00:00,-979.2
2019-07-01 12:30:00,-928.8000000000001
2019-07-01 13:00:00,-892.8
2019-07-01 13:30:00,-853.1999999999999
2019-07-01 14:00:00,-810.0
2019-07-01 14:30:00,-763.1999999999999
2019-07-01 15:00:00,-727.2
2019-07-01 15:30:00,-759.6
2019-07-01 16:00:00,-720.0
2019-07-01 16:30:00,-763.1999999999999
2019-07-01 17:00:00,-774.0
2019-07-01 17:30:00,-781.2
2019-07-01 18:00:00,-810.0
2019-07-01 18:30:00,-828.0
2019-07-01 19:00:00,-889.2
2019-07-01 19:30:00,-932.4
2019-07-01 20:00:00,-885.6
2019-07-01 20:30:00,-882.0
2019-07-01 21:00:00,-914.4
2019-07-01 21:30:00,-874.8
2019-07-01 22:00:00,-824.4
2019-07-01 22:30:00,-781.2
2019-07-01 23:00:00,-727.2
2019-07-01 23:30:00,-637.1999999999999
2019-07-02 00:00:00,-561.6
2019-07-02 00:30:00,-489.6
2019-07-02 01:00:00,-457.2
2019-07-02 01:30:00,-399.6
2019-07-02 02:00:00,-360.0
2019-07-02 02:30:00,-352.8
2019-07-02 03:00:00,-367.2
2019-07-02 03:30:00,-396.0
2019-07-02 04:00:00,-392.4
2019-07-02 04:30:00,-471.6
2019-07-02 05:00:00,-532.8
2019-07-02 05:30:00,-586.8000000000001
2019-07-02 06:00:00,-698.4
2019-07-02 06:30:00,-723.6
2019-07-02 07:00:00,-842.4000000000001
2019-07-02 07:30:00,-907.2
2019-07-02 08:00:00,-939.6
2019-07-02 08:30:00,-1026.0
2019-07-02 09:00:00,-1051.2
2019-07-02 09:30:00,-3193.2
2019-07-02 10:00:00,-1108.8
2019-07-02 10:30:00,-1116.0
2019-07-02 11:00:00,-1044.0
2019-07-02 11:30:00,-1004.4000000000001
2019-07-02 12:00:00,-968.4000000000001
2019-07-02 12:30:00,-961.2
2019-07-02 13:00:00,-928.8000000000001
2019-07-02 13:30:00,-860.4
2019-07-02 14:00:00,-864.0
2019-07-02 14:30:00,-820.8000000000001
2019-07-02 15:00:00,-810.0
2019-07-02 15:30:00,-813.6
2019-07-02 16:00:00,-3020.4
2019-07-02 16:30:00,-3034.7999999999997
2019-07-02 17:00:00,-3045.6
2019-07-02 17:30:00,-3063.6
2019-07-02 18:00:00,-3078.0
2019-07-02 18:30:00,-3110.4
2019-07-02 19:00:00,-3103.2
2019-07-02 19:30:00,-3146.4
2019-07-02 20:00:00,-3099.6
2019-07-02 20:30:00,-3103.2
2019-07-02 21:00:00,-3121.2
2019-07-02 21:30:00,-882.0
2019-07-02 22:00:00,-831.6
2019-07-02 22:30:00,-784.8
2019-07-02 23:00:00,-694.8000000000001
2019-07-02 23:30:00,-615.6
2019-07-03 00:00:00,-565.2
2019-07-03 00:30:00,-496.80000000000007
2019-07-03 01:00:00,-410.40000000000003
2019-07-03 01:30:00,-392.4
2019-07-03 02:00:00,-352.8
2019-07-03 02:30:00,-324.0
2019-07-03 03:00:00,-342.0
2019-07-03 03:30:00,-381.59999999999997
2019-07-03 04:00:00,-421.20000000000005
2019-07-03 04:30:00,-450.0
2019-07-03 05:00:00,-529.1999999999999
2019-07-03 05:30:00,-608.4000000000001
2019-07-03 06:00:00,-666.0
2019-07-03 06:30:00,-723.6
2019-07-03 07:00:00,-846.0
2019-07-03 07:30:00,-889.2
2019-07-03 08:00:00,-957.6
2019-07-03 08:30:00,-968.4000000000001
2019-07-03 09:00:00,-986.4000000000001
2019-07-03 09:30:00,-997.2
2019-07-03 10:00:00,-1015.1999999999999
2019-07-03 10:30:00,-1004.4000000000001
2019-07-03 11:00:00,-1047.6
2019-07-03 11:30:00,-990.0000000000001
2019-07-03 12:00:00,-961.2
2019-07-03 12:30:00,-3103.2
2019-07-03 13:00:00,-3124.8
2019-07-03 13:30:00,-3124.8
2019-07-03 14:00:00,-3060.0
2019-07-03 14:30:00,-3063.6
2019-07-03 15:00:00,-3031.2
2019-07-03 15:30:00,-3056.4
2019-07-03 16:00:00,-3042.0
2019-07-03 16:30:00,-3049.2
2019-07-03 17:00:00,-3052.7999999999997
2019-07-03 17:30:00,-849.5999999999999
2019-07-03 18:00:00,-892.8
2019-07-03 18:30:00,-910.8
2019-07-03 19:00:00,-918.0
2019-07-03 19:30:00,-943.2
2019-07-03 20:00:00,-939.6
2019-07-03 20:30:00,-964.8000000000001
2019-07-03 21:00:00,-900.0
2019-07-03 21:30:00,-882.0
2019-07-03 22:00:00,-3070.7999999999997
2019-07-03 22:30:00,-3013.2
2019-07-03 23:00:00,-3009.6
2019-07-03 23:30:00,-2916.0
2019-07-04 00:00:00,-2869.2000000000003
2019-07-04 00:30:00,-2851.2000000000003
2019-07-04 01:00:00,-464.40000000000003
2019-07-04 01:30:00,-399.6
2019-07-04 02:00:00,-2743.2
2019-07-04 02:30:00,-2721.6
2019-07-04 03:00:00,-2718.0
2019-07-04 03:30:00,-2772.0
2019-07-04 04:00:00,-2772.0
2019-07-04 04:30:00,-2826.0
2019-07-04 05:00:00,-604.8000000000001
2019-07-04 05:30:00,-2952.0
2019-07-04 06:00:00,-2995.2
2019-07-04 06:30:00,-3024.0
2019-07-04 07:00:00,-3088.7999999999997
2019-07-04 07:30:00,-3160.8
2019-07-04 08:00:00,-3164.4
2019-07-04 08:30:00,-3214.8
2019-07-04 09:00:00,-3272.4
2019-07-04 09:30:00,-3211.2000000000003
2019-07-04 10:00:00,-3254.4
